,filename,sgpa,cgpa
0,20011614003_1800265372.html,9.14,
1,20011614003_1800265434.html,8.0,
2,20011614003_1800265728.html,8.66,
3,20011614003_1800265846.html,8.92,
4,20011614005_1800265372.html,6.64,
5,20011614005_1800265434.html,8.15,
6,20011614005_1800265728.html,8.46,
7,20011614005_1800265846.html,8.42,
8,20011614006_1800265372.html,8.43,
9,20011614006_1800265434.html,7.92,
10,20011614006_1800265728.html,8.13,
11,20011614006_1800265846.html,8.42,
12,20011614007_1800265372.html,8.5,
13,20011614007_1800265434.html,7.54,
14,20011614007_1800265728.html,8.66,
15,20011614007_1800265846.html,8.33,
16,20011614010_1800265372.html,8.71,
17,20011614010_1800265434.html,8.15,
18,20011614010_1800265728.html,8.86,
19,20011614010_1800265846.html,9.17,
20,20011614011_1800265372.html,9.21,
21,20011614011_1800265434.html,8.0,
22,20011614011_1800265728.html,8.46,
23,20011614011_1800265846.html,8.83,
24,20011614012_1800265372.html,8.71,
25,20011614012_1800265434.html,7.85,
26,20011614012_1800265728.html,8.53,
27,20011614012_1800265846.html,8.75,
28,20011614013_1800265372.html,8.29,
29,20011614013_1800265434.html,7.85,
30,20011614013_1800265728.html,8.33,
31,20011614013_1800265846.html,8.58,
32,20011614015_1800265372.html,8.07,
33,20011614015_1800265434.html,7.46,
34,20011614015_1800265728.html,8.13,
35,20011614015_1800265846.html,8.25,
36,20011614016_1800265372.html,8.14,
37,20011614016_1800265434.html,7.46,
38,20011614016_1800265728.html,8.26,
39,20011614016_1800265846.html,8.08,
40,20011614017_1800265372.html,8.29,
41,20011614017_1800265434.html,7.62,
42,20011614017_1800265728.html,8.33,
43,20011614017_1800265846.html,7.83,
44,20011614019_1800265372.html,8.07,
45,20011614019_1800265434.html,6.92,
46,20011614019_1800265728.html,8.46,
47,20011614019_1800265846.html,8.17,
48,20011614022_1800265372.html,8.93,
49,20011614022_1800265434.html,7.62,
50,20011614022_1800265728.html,8.46,
51,20011614022_1800265846.html,8.67,
52,20011614023_1800265372.html,8.14,
53,20011614023_1800265434.html,7.08,
54,20011614023_1800265728.html,7.93,
55,20011614023_1800265846.html,8.08,
56,20011614024_1800265372.html,8.43,
57,20011614024_1800265434.html,7.31,
58,20011614024_1800265728.html,8.33,
59,20011614024_1800265846.html,8.42,
60,20011614025_1800265372.html,8.21,
61,20011614025_1800265434.html,7.31,
62,20011614025_1800265728.html,8.33,
63,20011614025_1800265846.html,8.33,
64,20011614026_1800265372.html,9.21,
65,20011614026_1800265434.html,8.0,
66,20011614026_1800265728.html,8.46,
67,20011614026_1800265846.html,9.08,
68,20011614027_1800265372.html,9.07,
69,20011614027_1800265434.html,8.23,
70,20011614027_1800265728.html,8.86,
71,20011614027_1800265846.html,8.92,
72,20011614029_1800265370.html,7.52,
73,20011614029_1800265372.html,2.79,
74,20011614029_1800265432.html,7.17,
75,20011614029_1800265843.html,6.21,
76,20011614029_1800265845.html,6.33,
77,20011614029_1800265846.html,6.92,
78,20011614030_1800265372.html,7.71,
79,20011614030_1800265434.html,7.15,
80,20011614030_1800265728.html,8.26,
81,20011614030_1800265846.html,8.17,
82,20011614031_1800265372.html,8.21,
83,20011614031_1800265434.html,7.54,
84,20011614031_1800265728.html,8.33,
85,20011614031_1800265846.html,8.5,
86,20011614032_1800265372.html,8.93,
87,20011614032_1800265434.html,7.85,
88,20011614032_1800265728.html,8.73,
89,20011614032_1800265846.html,8.92,
90,20011614033_1800265372.html,8.64,
91,20011614033_1800265434.html,7.54,
92,20011614033_1800265728.html,8.53,
93,20011614033_1800265846.html,8.58,
94,20011614035_1800265372.html,7.29,
95,20011614035_1800265434.html,7.15,
96,20011614035_1800265728.html,8.13,
97,20011614035_1800265846.html,8.5,
98,20011614036_1800265372.html,8.5,
99,20011614036_1800265434.html,7.46,
100,20011614036_1800265728.html,8.33,
101,20011614036_1800265846.html,8.42,
102,20011614037_1800265372.html,8.5,
103,20011614037_1800265434.html,7.92,
104,20011614037_1800265728.html,8.33,
105,20011614037_1800265846.html,8.75,
106,20011614039_1800265372.html,8.07,
107,20011614039_1800265434.html,7.31,
108,20011614039_1800265728.html,8.06,
109,20011614039_1800265846.html,8.25,
110,20011614040_1800265372.html,6.07,
111,20011614040_1800265728.html,7.53,
112,20011614040_1800265844.html,5.77,
113,20011614040_1800265846.html,8.5,
114,20011614042_1800265372.html,7.79,
115,20011614042_1800265434.html,7.23,
116,20011614042_1800265728.html,7.93,
117,20011614042_1800265846.html,7.67,
118,20011614044_1800265372.html,7.71,
119,20011614044_1800265727.html,7.23,
120,20011614044_1800265728.html,7.6,
121,20011614044_1800265846.html,8.17,
